Period,Value
Jan-08,30334
Feb-08,30854
Mar-08,33274
Apr-08,32299
May-08,34833
Jun-08,33284
Jul-08,34081
Aug-08,34746
Sep-08,31019
Oct-08,32543
Nov-08,31117
Dec-08,32664
Jan-09,31486
Feb-09,30307
Mar-09,33287
Apr-09,32410
May-09,34642
Jun-09,33019
Jul-09,33932
Aug-09,33681
Sep-09,30801
Oct-09,32351
Nov-09,30383
Dec-09,32427
Jan-10,30952
Feb-10,30536
Mar-10,34162
Apr-10,33799
May-10,35152
Jun-10,34109
Jul-10,35598
Aug-10,34878
Sep-10,32260
Oct-10,34116
Nov-10,32037
Dec-10,34357
Jan-11,32237
Feb-11,32452
Mar-11,36502
Apr-11,35950
May-11,37165
Jun-11,36409
Jul-11,37789
Aug-11,36986
Sep-11,35130
Oct-11,36144
Nov-11,34057
Dec-11,37307
Jan-12,34564
Feb-12,35522
Mar-12,39577
Apr-12,37641
May-12,39103
Jun-12,38903
Jul-12,38988
Aug-12,39105
Sep-12,36535
Oct-12,37241
Nov-12,36533
Dec-12,39456
Jan-13,36469
Feb-13,36043
Mar-13,41456
Apr-13,39290
May-13,41189
Jun-13,39910
Jul-13,40103
Aug-13,41017
Sep-13,37364
Oct-13,39271
Nov-13,38947
Dec-13,40638
Jan-14,37571
Feb-14,37334
Mar-14,43208
Apr-14,41446
May-14,44377
Jun-14,42085
Jul-14,42956
Aug-14,44043
Sep-14,40406
Oct-14,43076
Nov-14,41340
Dec-14,44706
Jan-15,42265
Feb-15,40803
Mar-15,46844
Apr-15,45616
May-15,48631
Jun-15,45988
Jul-15,46949
Aug-15,46765
Sep-15,43531
Oct-15,46422
Nov-15,43638
Dec-15,47927
Jan-16,44092
Feb-16,45165
Mar-16,49146
Apr-16,48965
May-16,49721
Jun-16,47920
Jul-16,49426
Aug-16,48519
Sep-16,46267
Oct-16,47866
Nov-16,46159
Dec-16,50192
Jan-17,46486
Feb-17,45946
Mar-17,52510
Apr-17,50886
May-17,52487
Jun-17,51653
Jul-17,51811
Aug-17,51567
Sep-17,49029
Oct-17,49990
Nov-17,48129
Dec-17,53634
Jan-18,47848
Feb-18,47594
Mar-18,55369
Apr-18,52262
May-18,55983
Jun-18,56188
Jul-18,56458
Aug-18,56672
Sep-18,51530
Oct-18,52973
Nov-18,51040
Dec-18,55214
Jan-19,50003
Feb-19,49740
Mar-19,57912
Apr-19,55371
May-19,59375
Jun-19,58610
Jul-19,59081
Aug-19,59876
Sep-19,54574
Oct-19,56546
Nov-19,55058
Dec-19,58452
Jan-20,54773
Feb-20,55733
Mar-20,42948
Apr-20,28161
May-20,40687
Jun-20,49679
Jul-20,52664
Aug-20,54107
Sep-20,52069
Oct-20,54596
Nov-20,48612
Dec-20,49609
Jan-21,50741
Feb-21,48074
Mar-21,62126
Apr-21,64024
May-21,69154
Jun-21,69163
Jul-21,72885
Aug-21,69588
Sep-21,65722
Oct-21,69027
Nov-21,64830
Dec-21,69543
Jan-22,62002
Feb-22,63715
Mar-22,NA
Apr-22,NA
May-22,NA
Jun-22,NA
Jul-22,NA
Aug-22,NA
Sep-22,NA
Oct-22,NA
Nov-22,NA
Dec-22,NA
